Rules,doh,non_doh,all,bad_rate
FlowBytesSent<=60162.5 & FlowBytesSent<=22219.5 & ResponseTimeTimeMedian<=0.0266 & ResponseTimeTimeMedian<=0.0265 & ResponseTimeTimeMedian<=0.0249 & PacketTimeSkewFromMedian<=2.5111 & ResponseTimeTimeMode<=0.0232 & ResponseTimeTimeMode>0.0 & PacketTimeSkewFromMode<=2.0534 & PacketTimeSkewFromMedian<=-2.3222 & FlowSentRate<=191.5472,1.0,0.0,1.0,inf
FlowBytesSent<=60162.5 & FlowBytesSent<=22219.5 & ResponseTimeTimeMedian<=0.0266 & ResponseTimeTimeMedian<=0.0265 & ResponseTimeTimeMedian<=0.0249 & PacketTimeSkewFromMedian<=2.5111 & ResponseTimeTimeMode<=0.0232 & ResponseTimeTimeMode>0.0 & PacketTimeSkewFromMode<=2.0534 & PacketTimeSkewFromMedian>-2.3222 & ResponseTimeTimeSkewFromMode<=1.7616,1.0,0.0,1.0,inf
FlowBytesSent<=60162.5 & FlowBytesSent<=22219.5 & ResponseTimeTimeMedian<=0.0266 & ResponseTimeTimeMedian<=0.0265 & ResponseTimeTimeMedian<=0.0249 & PacketTimeSkewFromMedian<=2.5111 & ResponseTimeTimeMode<=0.0232 & ResponseTimeTimeMode>0.0 & PacketTimeSkewFromMode<=2.0534 & PacketTimeSkewFromMedian>-2.3222 & ResponseTimeTimeSkewFromMode>1.7616 & ResponseTimeTimeSkewFromMode>1.95,1.0,0.0,1.0,inf
FlowBytesSent<=60162.5 & FlowBytesSent<=22219.5 & ResponseTimeTimeMedian<=0.0266 & ResponseTimeTimeMedian<=0.0265 & ResponseTimeTimeMedian>0.0249 & ResponseTimeTimeMedian<=0.0251 & ResponseTimeTimeMean<=0.0249 & FlowBytesSent<=490.5,1.0,0.0,1.0,inf
FlowBytesSent<=60162.5 & FlowBytesSent<=22219.5 & ResponseTimeTimeMedian<=0.0266 & ResponseTimeTimeMedian<=0.0265 & ResponseTimeTimeMedian<=0.0249 & PacketTimeSkewFromMedian<=2.5111 & ResponseTimeTimeMode>0.0232 & ResponseTimeTimeMode>0.0233,1.0,0.0,1.0,inf
FlowBytesSent<=60162.5 & FlowBytesSent<=22219.5 & ResponseTimeTimeMedian<=0.0266 & ResponseTimeTimeMedian<=0.0265 & ResponseTimeTimeMedian<=0.0249 & PacketTimeSkewFromMedian<=2.5111 & ResponseTimeTimeMode<=0.0232 & ResponseTimeTimeMode>0.0 & PacketTimeSkewFromMode>2.0534 & ResponseTimeTimeMean<=0.0191,1.0,0.0,1.0,inf
FlowBytesSent<=60162.5 & FlowBytesSent<=22219.5 & ResponseTimeTimeMedian>0.0266,1.0,0.0,1.0,inf
FlowBytesSent<=60162.5 & FlowBytesSent>22219.5 & PacketLengthStandardDeviation>616.812,1.0,0.0,1.0,inf
FlowBytesSent<=60162.5 & FlowBytesSent<=22219.5 & ResponseTimeTimeMedian<=0.0266 & ResponseTimeTimeMedian<=0.0265 & ResponseTimeTimeMedian>0.0249 & ResponseTimeTimeMedian>0.0251 & FlowSentRate>995.0247,1.0,0.0,1.0,inf
FlowBytesSent<=60162.5 & FlowBytesSent<=22219.5 & ResponseTimeTimeMedian<=0.0266 & ResponseTimeTimeMedian<=0.0265 & ResponseTimeTimeMedian>0.0249 & ResponseTimeTimeMedian>0.0251 & FlowSentRate<=995.0247 & PacketTimeVariance>8.8419,1.0,0.0,1.0,inf
